RAM 2337/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [15%@1804,off,off,40%@1805,8%@1804,8%@1802] EMC_FREQ 13%@1600 GR3D_FREQ 89%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.1C Tdiode@50.75C VDD_SYS_GPU 1448/643 VDD_SYS_SOC 839/709 VDD_4V0_WIFI 19/46 VDD_IN 5261/4094 VDD_SYS_CPU 686/853 VDD_SYS_DDR 1577/1127
RAM 2337/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1881,off,off,58%@1882,9%@1882,0%@1882] EMC_FREQ 13%@1600 GR3D_FREQ 14%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.1C Tdiode@50.75C VDD_SYS_GPU 1448/667 VDD_SYS_SOC 839/713 VDD_4V0_WIFI 0/45 VDD_IN 5261/4130 VDD_SYS_CPU 686/848 VDD_SYS_DDR 1577/1141
RAM 2338/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [27%@1907,off,off,0%@1905,30%@1902,0%@1894] EMC_FREQ 14%@1600 GR3D_FREQ 10%@726 VIC_FREQ 0%@115 APE 150 PLL@52C MCPU@52C PMIC@100C Tboard@47C GPU@51C BCPU@52C thermal@51.1C Tdiode@51C VDD_SYS_GPU 1448/690 VDD_SYS_SOC 839/717 VDD_4V0_WIFI 19/44 VDD_IN 5261/4163 VDD_SYS_CPU 686/843 VDD_SYS_DDR 1596/1154
RAM 2338/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [40%@1889,off,off,0%@1882,0%@1880,0%@1881] EMC_FREQ 14%@1600 GR3D_FREQ 90%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.5C Tdiode@51C VDD_SYS_GPU 1525/714 VDD_SYS_SOC 839/720 VDD_4V0_WIFI 19/43 VDD_IN 5376/4198 VDD_SYS_CPU 686/838 VDD_SYS_DDR 1615/1167
RAM 2339/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [66%@1891,off,off,0%@1881,9%@1880,0%@1881] EMC_FREQ 15%@1600 GR3D_FREQ 0%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.5C Tdiode@51C VDD_SYS_GPU 1448/734 VDD_SYS_SOC 839/724 VDD_4V0_WIFI 0/42 VDD_IN 5337/4229 VDD_SYS_CPU 686/834 VDD_SYS_DDR 1596/1179
RAM 2339/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [45%@1904,off,off,9%@1904,0%@1901,9%@1883] EMC_FREQ 15%@1600 GR3D_FREQ 99%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.5C Tdiode@51C VDD_SYS_GPU 1525/755 VDD_SYS_SOC 839/727 VDD_4V0_WIFI 0/41 VDD_IN 5414/4261 VDD_SYS_CPU 610/828 VDD_SYS_DDR 1596/1190
RAM 2339/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [20%@1885,off,off,27%@1881,0%@1881,0%@1881] EMC_FREQ 15%@1600 GR3D_FREQ 77%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.5C Tdiode@51C VDD_SYS_GPU 1525/776 VDD_SYS_SOC 839/730 VDD_4V0_WIFI 0/40 VDD_IN 5414/4292 VDD_SYS_CPU 610/822 VDD_SYS_DDR 1615/1202
RAM 2338/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1876,off,off,60%@1880,0%@1878,0%@1879] EMC_FREQ 16%@1600 GR3D_FREQ 52%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.5C Tdiode@50.75C VDD_SYS_GPU 1525/795 VDD_SYS_SOC 839/732 VDD_4V0_WIFI 0/39 VDD_IN 5376/4319 VDD_SYS_CPU 686/819 VDD_SYS_DDR 1615/1212
RAM 2339/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1889,off,off,45%@1881,0%@1882,0%@1882] EMC_FREQ 16%@1600 GR3D_FREQ 99%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.5C Tdiode@50.75C VDD_SYS_GPU 1601/815 VDD_SYS_SOC 838/735 VDD_4V0_WIFI 19/38 VDD_IN 5490/4349 VDD_SYS_CPU 610/814 VDD_SYS_DDR 1653/1223
RAM 2339/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [10%@1886,off,off,63%@1882,0%@1881,0%@1881] EMC_FREQ 16%@1600 GR3D_FREQ 0%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.5C Tdiode@51C VDD_SYS_GPU 1525/832 VDD_SYS_SOC 839/738 VDD_4V0_WIFI 19/38 VDD_IN 5416/4375 VDD_SYS_CPU 686/810 VDD_SYS_DDR 1634/1233
