Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
195,19500,2032.0,100,16,100,63,100,47.0,1300.0,1828.0,3274.0,1788.0,7746.0
196,19600,2029.0,54,38,100,41,100,0.0,1300.0,1828.0,3274.0,1769.0,7727.0
197,19700,2031.0,72,0,100,70,100,0.0,1300.0,1828.0,3198.0,1769.0,7651.0
198,19800,2034.0,100,9,100,63,100,31.0,1300.0,1828.0,3274.0,1769.0,7728.0
199,19900,2033.0,100,0,100,58,100,16.0,1300.0,1828.0,3351.0,1769.0,7804.0
200,20000,2028.0,100,9,100,60,100,0.0,1300.0,1828.0,3351.0,1769.0,7804.0
201,20100,2032.0,100,9,100,60,100,74.0,1300.0,1828.0,3351.0,1788.0,7823.0
202,20200,2030.0,100,9,100,63,100,50.0,1300.0,1828.0,3351.0,1807.0,7823.0
203,20300,2030.0,100,9,100,54,100,93.0,1300.0,1828.0,3427.0,1827.0,7919.0
204,20400,2034.0,100,9,100,60,100,79.0,1300.0,1828.0,3351.0,1827.0,7843.0
205,20500,2034.0,100,30,100,45,100,0.0,1300.0,1752.0,3274.0,1807.0,7671.0
206,20600,2035.0,100,16,100,66,100,0.0,1300.0,1752.0,3274.0,1827.0,7691.0
207,20700,2032.0,100,23,100,63,100,0.0,1300.0,1752.0,3198.0,1807.0,7595.0
208,20800,2033.0,100,0,100,54,100,74.0,1300.0,1752.0,3274.0,1807.0,7671.0
209,20900,2031.0,100,0,100,60,100,60.0,1300.0,1752.0,3274.0,1827.0,7691.0
210,21000,2029.0,100,23,100,66,100,99.0,1300.0,1752.0,3351.0,1827.0,7786.0
211,21100,2032.0,66,0,100,100,100,99.0,1300.0,1752.0,3427.0,1865.0,8073.0
212,21200,2028.0,63,9,100,100,100,87.0,1300.0,1752.0,3351.0,1846.0,8055.0
213,21300,2031.0,53,45,90,100,100,0.0,1300.0,1752.0,3274.0,1827.0,7901.0
214,21400,2031.0,45,88,54,100,100,3.0,1300.0,1828.0,3122.0,1807.0,7767.0
215,21500,2032.0,63,9,100,100,100,24.0,1300.0,1828.0,3198.0,1807.0,7805.0
216,21600,2032.0,91,60,41,100,100,0.0,1300.0,1828.0,3274.0,1807.0,7842.0
217,21700,2031.0,100,30,60,91,100,81.0,1300.0,1828.0,3351.0,1827.0,7919.0
218,21800,2030.0,91,54,81,45,91,87.0,1300.0,1828.0,3351.0,1827.0,8035.0
219,21900,2001.0,70,90,66,20,90,78.0,1300.0,1828.0,3427.0,1846.0,8245.0
220,22000,2026.0,63,72,0,91,91,99.0,1300.0,1828.0,3351.0,1827.0,8093.0
221,22100,2027.0,60,0,0,100,100,32.0,1300.0,1752.0,3351.0,1807.0,7939.0
222,22200,2035.0,66,9,0,100,100,7.0,1300.0,1676.0,3198.0,1769.0,7634.0
223,22300,2029.0,54,20,63,50,63,0.0,1300.0,1600.0,3274.0,1769.0,7749.0
224,22400,2029.0,16,0,66,100,100,0.0,1300.0,1600.0,3274.0,1769.0,7845.0
225,22500,2035.0,54,9,9,90,90,26.0,1300.0,1523.0,3274.0,1750.0,7826.0
226,22600,2034.0,60,100,9,9,100,43.0,1300.0,1523.0,3351.0,1730.0,7941.0
227,22700,2034.0,60,72,27,9,72,98.0,1300.0,1523.0,3427.0,1730.0,8055.0
228,22800,2032.0,58,16,100,8,100,99.0,1300.0,1523.0,3503.0,1750.0,8189.0
229,22900,2022.0,40,0,100,44,100,99.0,1300.0,1523.0,3503.0,1769.0,8228.0
230,23000,2033.0,40,9,100,33,100,22.0,1300.0,1523.0,3351.0,1769.0,8095.0
231,23100,2034.0,36,9,100,36,100,40.0,1300.0,1447.0,3351.0,1750.0,8019.0
232,23200,2032.0,45,9,90,36,90,0.0,1300.0,1447.0,3274.0,1750.0,7942.0
233,23300,2033.0,63,8,91,9,91,0.0,1300.0,1447.0,3274.0,1750.0,7961.0
234,23400,2031.0,55,16,81,27,81,34.0,1300.0,1447.0,3274.0,1750.0,7961.0
235,23500,2030.0,92,0,35,36,92,6.0,1300.0,1447.0,3351.0,1750.0,7942.0
236,23600,2035.0,45,36,63,11,63,63.0,1300.0,1447.0,3351.0,1750.0,7961.0
237,23700,2031.0,90,100,60,30,100,41.0,1300.0,1523.0,3427.0,1788.0,8190.0
238,23800,2034.0,100,90,63,0,100,21.0,1300.0,1600.0,3427.0,1788.0,8286.0
239,23900,2032.0,92,16,60,70,92,84.0,1300.0,1600.0,3427.0,1807.0,8324.0
240,24000,2032.0,100,10,66,91,100,51.0,1300.0,1675.0,3425.0,1807.0,8417.0
241,24100,2031.0,91,25,63,91,91,99.0,1300.0,1675.0,3425.0,1827.0,8437.0
242,24200,2031.0,100,100,58,0,100,90.0,1300.0,1751.0,3425.0,1827.0,8513.0
243,24300,2032.0,100,81,72,27,100,59.0,1300.0,1751.0,3425.0,1846.0,8378.0
244,24400,2031.0,100,16,63,100,100,40.0,1300.0,1828.0,3425.0,1846.0,8320.0
245,24500,2033.0,58,9,54,100,100,98.0,1300.0,1752.0,3427.0,1865.0,8188.0
246,24600,2028.0,9,9,63,100,100,99.0,1300.0,1676.0,3427.0,1846.0,8036.0
247,24700,2030.0,40,81,36,100,100,25.0,1300.0,1676.0,3427.0,1827.0,8093.0
248,24800,2036.0,100,63,50,100,100,5.0,1300.0,1752.0,3427.0,1807.0,8226.0
249,24900,2032.0,100,54,63,100,100,7.0,1300.0,1828.0,3351.0,1788.0,8111.0
