RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1960,off,off,0%@1964,60%@1963,0%@1963] EMC_FREQ 16%@1600 GR3D_FREQ 81%@1122 VIC_FREQ 0%@115 APE 150 PLL@50C MCPU@50C PMIC@100C Tboard@44C GPU@49.5C BCPU@50C thermal@49.3C Tdiode@49C VDD_SYS_GPU 2591/940 VDD_SYS_SOC 838/716 VDD_4V0_WIFI 0/4 VDD_IN 6672/4539 VDD_SYS_CPU 762/1003 VDD_SYS_DDR 1692/1167
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [16%@1804,off,off,9%@1804,58%@1803,9%@1804] EMC_FREQ 16%@1600 GR3D_FREQ 99%@1122 VIC_FREQ 0%@115 APE 150 PLL@50C MCPU@50C PMIC@100C Tboard@44C GPU@49C BCPU@50C thermal@49.3C Tdiode@49.25C VDD_SYS_GPU 2591/990 VDD_SYS_SOC 838/720 VDD_4V0_WIFI 19/5 VDD_IN 6745/4606 VDD_SYS_CPU 762/996 VDD_SYS_DDR 1711/1184
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [8%@1882,off,off,0%@1882,58%@1880,0%@1881] EMC_FREQ 17%@1600 GR3D_FREQ 99%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@50C BCPU@49.5C thermal@49.3C Tdiode@49.25C VDD_SYS_GPU 2667/1040 VDD_SYS_SOC 838/724 VDD_4V0_WIFI 19/5 VDD_IN 6860/4672 VDD_SYS_CPU 762/989 VDD_SYS_DDR 1730/1200
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@345,off,off,0%@345,60%@1060,0%@1794] EMC_FREQ 17%@1600 GR3D_FREQ 56%@1122 VIC_FREQ 0%@115 APE 150 PLL@50C MCPU@50C PMIC@100C Tboard@45C GPU@49.5C BCPU@50C thermal@49.3C Tdiode@49.25C VDD_SYS_GPU 2667/1086 VDD_SYS_SOC 838/727 VDD_4V0_WIFI 19/5 VDD_IN 6898/4736 VDD_SYS_CPU 762/982 VDD_SYS_DDR 1730/1215
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@345,off,off,0%@345,58%@345,0%@1059] EMC_FREQ 17%@1600 GR3D_FREQ 84%@1122 VIC_FREQ 0%@115 APE 150 PLL@50C MCPU@50C PMIC@100C Tboard@45C GPU@49.5C BCPU@50C thermal@49.3C Tdiode@49.75C VDD_SYS_GPU 2667/1130 VDD_SYS_SOC 838/730 VDD_4V0_WIFI 19/6 VDD_IN 6898/4796 VDD_SYS_CPU 762/976 VDD_SYS_DDR 1730/1229
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@2069,off,off,0%@2035,63%@2034,0%@2034] EMC_FREQ 18%@1600 GR3D_FREQ 99%@1122 VIC_FREQ 0%@115 APE 150 PLL@50C MCPU@50C PMIC@100C Tboard@45C GPU@49.5C BCPU@50C thermal@49.3C Tdiode@49.75C VDD_SYS_GPU 2667/1172 VDD_SYS_SOC 838/733 VDD_4V0_WIFI 19/6 VDD_IN 6898/4853 VDD_SYS_CPU 762/970 VDD_SYS_DDR 1750/1243
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [8%@1881,off,off,0%@1881,27%@1880,30%@1881] EMC_FREQ 18%@1600 GR3D_FREQ 31%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@45C GPU@50C BCPU@49.5C thermal@49.3C Tdiode@49C VDD_SYS_GPU 2667/1211 VDD_SYS_SOC 838/736 VDD_4V0_WIFI 19/7 VDD_IN 6898/4906 VDD_SYS_CPU 762/965 VDD_SYS_DDR 1730/1256
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@2065,off,off,8%@2035,9%@2034,72%@2035] EMC_FREQ 18%@1600 GR3D_FREQ 35%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@45C GPU@49C BCPU@49.5C thermal@49.5C Tdiode@49C VDD_SYS_GPU 2667/1248 VDD_SYS_SOC 838/738 VDD_4V0_WIFI 19/7 VDD_IN 6822/4956 VDD_SYS_CPU 762/960 VDD_SYS_DDR 1730/1268
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@2072,off,off,0%@2034,33%@2035,36%@2035] EMC_FREQ 19%@1600 GR3D_FREQ 0%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@45C GPU@49.5C BCPU@49.5C thermal@49.5C Tdiode@49.5C VDD_SYS_GPU 2591/1282 VDD_SYS_SOC 838/741 VDD_4V0_WIFI 19/7 VDD_IN 6822/5002 VDD_SYS_CPU 838/956 VDD_SYS_DDR 1711/1279
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@2034,off,off,0%@2034,70%@2035,0%@2036] EMC_FREQ 19%@1600 GR3D_FREQ 0%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@45C GPU@50C BCPU@49.5C thermal@49.5C Tdiode@49.5C VDD_SYS_GPU 2515/1312 VDD_SYS_SOC 838/743 VDD_4V0_WIFI 19/7 VDD_IN 6707/5044 VDD_SYS_CPU 838/954 VDD_SYS_DDR 1692/1289
