RAM 2321/7850MB (lfb 585x4MB) SWAP 0/3925MB (cached 0MB) CPU [16%@1612,off,off,9%@1574,0%@1573,70%@1574] EMC_FREQ 10%@1600 GR3D_FREQ 0%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@48C BCPU@48C thermal@47.4C Tdiode@48C VDD_SYS_GPU 2286/666 VDD_SYS_SOC 762/695 VDD_4V0_WIFI 0/11 VDD_IN 5871/3744 VDD_SYS_CPU 610/652 VDD_SYS_DDR 1480/1044
RAM 2322/7850MB (lfb 585x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1574,off,off,0%@1574,72%@1574,9%@1575] EMC_FREQ 11%@1600 GR3D_FREQ 3%@1236 VIC_FREQ 0%@115 APE 150 PLL@48.5C MCPU@48.5C PMIC@100C Tboard@43C GPU@48C BCPU@48.5C thermal@47.4C Tdiode@48C VDD_SYS_GPU 2286/715 VDD_SYS_SOC 762/697 VDD_4V0_WIFI 0/11 VDD_IN 5986/3812 VDD_SYS_CPU 610/651 VDD_SYS_DDR 1519/1059
RAM 2322/7850MB (lfb 585x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1574,off,off,0%@1575,25%@1574,36%@1575] EMC_FREQ 12%@1600 GR3D_FREQ 30%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@48.5C BCPU@48C thermal@47.4C Tdiode@48C VDD_SYS_GPU 2515/768 VDD_SYS_SOC 762/699 VDD_4V0_WIFI 0/11 VDD_IN 6214/3882 VDD_SYS_CPU 533/648 VDD_SYS_DDR 1557/1073
RAM 2321/7850MB (lfb 585x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1615,off,off,0%@1574,60%@1574,0%@1574] EMC_FREQ 13%@1600 GR3D_FREQ 57%@1236 VIC_FREQ 0%@115 APE 150 PLL@48.5C MCPU@48.5C PMIC@100C Tboard@43C GPU@47.5C BCPU@48.5C thermal@48.3C Tdiode@48C VDD_SYS_GPU 2591/820 VDD_SYS_SOC 838/703 VDD_4V0_WIFI 0/10 VDD_IN 6367/3953 VDD_SYS_CPU 533/644 VDD_SYS_DDR 1596/1088
RAM 2322/7850MB (lfb 585x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1610,off,off,8%@1573,72%@1573,0%@1574] EMC_FREQ 13%@1600 GR3D_FREQ 9%@1236 VIC_FREQ 0%@115 APE 150 PLL@48.5C MCPU@48.5C PMIC@100C Tboard@43C GPU@49C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 2515/868 VDD_SYS_SOC 838/707 VDD_4V0_WIFI 19/11 VDD_IN 6329/4019 VDD_SYS_CPU 610/643 VDD_SYS_DDR 1577/1102
RAM 2322/7850MB (lfb 585x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1541,off,off,0%@1541,70%@1544,0%@1543] EMC_FREQ 14%@1600 GR3D_FREQ 23%@1236 VIC_FREQ 0%@115 APE 150 PLL@48.5C MCPU@48.5C PMIC@100C Tboard@43C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 2591/914 VDD_SYS_SOC 838/710 VDD_4V0_WIFI 19/11 VDD_IN 6405/4084 VDD_SYS_CPU 533/640 VDD_SYS_DDR 1577/1115
RAM 2321/7850MB (lfb 585x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1574,off,off,0%@1574,9%@1574,54%@1574] EMC_FREQ 15%@1600 GR3D_FREQ 77%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@48.5C BCPU@48C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 2744/962 VDD_SYS_SOC 838/714 VDD_4V0_WIFI 19/11 VDD_IN 6558/4149 VDD_SYS_CPU 533/638 VDD_SYS_DDR 1615/1128
RAM 2322/7850MB (lfb 585x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1612,off,off,0%@1574,0%@1575,63%@1574] EMC_FREQ 15%@1600 GR3D_FREQ 21%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@48C BCPU@48C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 2820/1010 VDD_SYS_SOC 838/717 VDD_4V0_WIFI 19/11 VDD_IN 6634/4213 VDD_SYS_CPU 533/635 VDD_SYS_DDR 1653/1141
RAM 2321/7850MB (lfb 585x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1611,off,off,0%@1574,0%@1574,72%@1574] EMC_FREQ 15%@1600 GR3D_FREQ 0%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@49C BCPU@48C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 2667/1051 VDD_SYS_SOC 838/720 VDD_4V0_WIFI 19/11 VDD_IN 6481/4269 VDD_SYS_CPU 533/632 VDD_SYS_DDR 1615/1153
RAM 2322/7850MB (lfb 585x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1574,off,off,0%@1574,63%@1575,0%@1571] EMC_FREQ 16%@1600 GR3D_FREQ 50%@1236 VIC_FREQ 0%@115 APE 150 PLL@48.5C MCPU@48.5C PMIC@100C Tboard@43C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 2667/1091 VDD_SYS_SOC 838/723 VDD_4V0_WIFI 19/12 VDD_IN 6481/4323 VDD_SYS_CPU 533/630 VDD_SYS_DDR 1615/1164
