Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
174,17400,2058.0,66,0,9,0,66,16.0,1122.0,762.0,2515.0,1692.0,5807.0
175,17500,2025.0,36,0,8,36,36,0.0,1122.0,762.0,2439.0,1673.0,5712.0
176,17600,1993.0,9,0,0,58,58,24.0,1122.0,762.0,2515.0,1673.0,5788.0
177,17700,1963.0,9,0,0,63,63,99.0,1122.0,762.0,2591.0,1692.0,5883.0
178,17800,2035.0,0,0,0,60,60,99.0,1122.0,762.0,2667.0,1711.0,5978.0
179,17900,1880.0,0,0,0,54,54,52.0,1122.0,762.0,2667.0,1730.0,5997.0
180,18000,2070.0,0,8,0,60,60,81.0,1122.0,762.0,2667.0,1750.0,6017.0
181,18100,2063.0,0,0,0,63,63,78.0,1122.0,838.0,2591.0,1711.0,5978.0
182,18200,2036.0,8,0,0,60,60,4.0,1122.0,762.0,2591.0,1730.0,5921.0
183,18300,2071.0,9,9,8,63,63,19.0,1122.0,762.0,2591.0,1711.0,5902.0
184,18400,2023.0,9,0,0,63,63,0.0,1122.0,838.0,2515.0,1711.0,5902.0
185,18500,2014.0,0,0,0,60,60,0.0,1122.0,838.0,2515.0,1711.0,5902.0
186,18600,1995.0,15,0,0,58,58,82.0,1122.0,762.0,2591.0,1711.0,5902.0
187,18700,1960.0,9,0,0,60,60,57.0,1122.0,762.0,2667.0,1730.0,5997.0
188,18800,1801.0,0,0,0,54,54,99.0,1122.0,762.0,2667.0,1730.0,5997.0
189,18900,905.0,0,0,0,63,63,99.0,1122.0,762.0,2744.0,1750.0,6094.0
190,19000,2063.0,0,0,0,60,60,15.0,1122.0,762.0,2591.0,1711.0,5902.0
191,19100,2071.0,9,0,9,63,63,44.0,1122.0,762.0,2667.0,1711.0,5978.0
192,19200,2070.0,0,0,0,63,63,0.0,1122.0,762.0,2591.0,1711.0,5902.0
193,19300,2033.0,8,0,0,70,70,0.0,1122.0,762.0,2515.0,1711.0,5826.0
194,19400,2019.0,9,0,0,54,54,34.0,1122.0,762.0,2515.0,1692.0,5807.0
195,19500,2027.0,9,0,0,60,60,50.0,1122.0,762.0,2591.0,1711.0,5902.0
196,19600,1959.0,0,9,0,54,54,99.0,1122.0,762.0,2667.0,1730.0,6016.0
197,19700,1880.0,16,0,0,60,60,99.0,1122.0,762.0,2667.0,1750.0,6036.0
198,19800,2070.0,0,0,0,63,63,38.0,1122.0,762.0,2667.0,1750.0,6036.0
199,19900,2070.0,8,0,0,66,66,58.0,1122.0,762.0,2667.0,1750.0,6036.0
200,20000,2060.0,0,8,8,54,54,0.0,1122.0,762.0,2667.0,1730.0,6016.0
