RAM 2356/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [60%@1419,off,off,0%@1419,0%@1421,0%@1421] EMC_FREQ 8%@1600 GR3D_FREQ 44%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@47.5C BCPU@47.5C thermal@46.9C Tdiode@46.5C VDD_SYS_GPU 1601/469 VDD_SYS_SOC 762/674 VDD_4V0_WIFI 0/5 VDD_IN 5073/3397 VDD_SYS_CPU 534/579 VDD_SYS_DDR 1384/991
RAM 2361/7850MB (lfb 606x4MB) SWAP 0/3925MB (cached 0MB) CPU [75%@1421,off,off,9%@1427,8%@1422,8%@1423] EMC_FREQ 9%@1600 GR3D_FREQ 4%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@47C BCPU@47.5C thermal@46.9C Tdiode@47.75C VDD_SYS_GPU 1677/505 VDD_SYS_SOC 762/676 VDD_4V0_WIFI 0/5 VDD_IN 5149/3450 VDD_SYS_CPU 534/577 VDD_SYS_DDR 1384/1003
RAM 2361/7850MB (lfb 606x4MB) SWAP 0/3925MB (cached 0MB) CPU [60%@1420,off,off,8%@1420,0%@1420,0%@1421] EMC_FREQ 10%@1600 GR3D_FREQ 73%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@47.5C BCPU@47.5C thermal@47.7C Tdiode@47.75C VDD_SYS_GPU 1906/547 VDD_SYS_SOC 762/679 VDD_4V0_WIFI 0/5 VDD_IN 5490/3510 VDD_SYS_CPU 534/576 VDD_SYS_DDR 1461/1017
RAM 2361/7850MB (lfb 606x4MB) SWAP 0/3925MB (cached 0MB) CPU [81%@1419,off,off,0%@1420,0%@1421,0%@1419] EMC_FREQ 10%@1600 GR3D_FREQ 0%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@47.5C BCPU@47.5C thermal@47.7C Tdiode@47.75C VDD_SYS_GPU 1830/583 VDD_SYS_SOC 762/681 VDD_4V0_WIFI 0/4 VDD_IN 5414/3565 VDD_SYS_CPU 534/575 VDD_SYS_DDR 1442/1029
RAM 2361/7850MB (lfb 606x4MB) SWAP 0/3925MB (cached 0MB) CPU [63%@1419,off,off,0%@1421,0%@1420,0%@1420] EMC_FREQ 11%@1600 GR3D_FREQ 94%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@47C BCPU@47.5C thermal@47.7C Tdiode@47C VDD_SYS_GPU 1982/622 VDD_SYS_SOC 762/683 VDD_4V0_WIFI 0/4 VDD_IN 5604/3621 VDD_SYS_CPU 534/574 VDD_SYS_DDR 1500/1042
RAM 2361/7850MB (lfb 606x4MB) SWAP 0/3925MB (cached 0MB) CPU [63%@1420,off,off,9%@1421,0%@1420,8%@1421] EMC_FREQ 12%@1600 GR3D_FREQ 41%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@48C BCPU@47.5C thermal@47.7C Tdiode@47C VDD_SYS_GPU 2058/661 VDD_SYS_SOC 762/686 VDD_4V0_WIFI 0/4 VDD_IN 5719/3678 VDD_SYS_CPU 457/570 VDD_SYS_DDR 1538/1055
RAM 2361/7850MB (lfb 606x4MB) SWAP 0/3925MB (cached 0MB) CPU [72%@1420,off,off,0%@1420,8%@1420,0%@1421] EMC_FREQ 12%@1600 GR3D_FREQ 35%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@47.5C BCPU@47.5C thermal@47.7C Tdiode@47.25C VDD_SYS_GPU 2058/698 VDD_SYS_SOC 762/688 VDD_4V0_WIFI 0/4 VDD_IN 5642/3730 VDD_SYS_CPU 534/569 VDD_SYS_DDR 1519/1067
RAM 2361/7850MB (lfb 606x4MB) SWAP 0/3925MB (cached 0MB) CPU [54%@1318,off,off,16%@1316,0%@1314,0%@1320] EMC_FREQ 13%@1600 GR3D_FREQ 99%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@47.5C BCPU@47.5C thermal@47.7C Tdiode@47.25C VDD_SYS_GPU 2286/738 VDD_SYS_SOC 762/689 VDD_4V0_WIFI 0/4 VDD_IN 5871/3785 VDD_SYS_CPU 457/567 VDD_SYS_DDR 1577/1080
RAM 2361/7850MB (lfb 606x4MB) SWAP 0/3925MB (cached 0MB) CPU [45%@1422,off,off,40%@1418,0%@1422,0%@1421] EMC_FREQ 13%@1600 GR3D_FREQ 0%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@48C BCPU@47.5C thermal@47.7C Tdiode@47.75C VDD_SYS_GPU 2135/773 VDD_SYS_SOC 762/691 VDD_4V0_WIFI 0/4 VDD_IN 5719/3833 VDD_SYS_CPU 534/566 VDD_SYS_DDR 1538/1092
RAM 2361/7850MB (lfb 606x4MB) SWAP 0/3925MB (cached 0MB) CPU [63%@1422,off,off,0%@1421,0%@1422,0%@1423] EMC_FREQ 14%@1600 GR3D_FREQ 66%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@47C BCPU@47.5C thermal@47.7C Tdiode@47.75C VDD_SYS_GPU 2210/808 VDD_SYS_SOC 762/693 VDD_4V0_WIFI 0/4 VDD_IN 5871/3883 VDD_SYS_CPU 457/563 VDD_SYS_DDR 1577/1104
